MG - REDE DOM PEDRO DE POSTOS LTDA                                                                                                                         01/06/2026 08:56;;;;;;;;;;;
MEDIÇÃO DE TANQUE POR PERÍODO;;;;;;;;;;;
Empresa: 2 - DP 1 oi;;;;;;;;;;;
Período: 01/05/2026 a 31/05/2026;;;;;;;;;;;
Depósitos: ATIVOS;;;;;;;;;;;
Modo: ANALÍTICO;;;;;;;;;;;
Agrupar: COMBUSTÍVEL;;;;;;;;;;;
Exibir: SOMENTE COM ESTOQUE;;;;;;;;;;;
Empresa: 2 - DP 1;;;;;;;;;;;
Combustível: 1 - DIESEL COMUM;Tanques vinculados: 388 - 387;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;10251;10000;20251;0;18553;1764,717;1698;66,7;66,7;3,8
2026-05-02;0;18553;200;18753;0;16834;1914,19;1919;-4,8;61,9;1,7
2026-05-03;0;16834;0;16834;0;14185;2579,983;2649;-69;-7,1;0
2026-05-04;0;14185;10000;24185;0;19798;4322,56;4387;-64,4;-71,5;-0,7
2026-05-05;0;19798;0;19798;0;16208;3590,91;3590;0,9;-70,6;0
2026-05-06;0;16208;7000;23208;0;19798;3385,922;3410;-24,1;-94,7;-0,5
2026-05-07;0;19798;0;19798;0;14339;5468,423;5459;9,4;-85,3;-0,4
2026-05-08;0;14339;5000;19339;0;15740;3660,544;3599;61,5;-23,8;0
2026-05-09;0;15740;0;15740;0;12953;2780,819;2787;-6,2;-30;0
2026-05-10;0;12953;5000;17953;0;15584;2440,418;2369;71,4;41,4;0,1
2026-05-11;0;15584;9000;24584;0;21794;2822,536;2790;32,5;73,9;0,2
2026-05-12;0;21794;0;21794;0;18241;3473,997;3553;-79;-5,1;0
2026-05-13;0;18241;8000;26241;0;22998;3220,675;3243;-22,3;-27,4;0
2026-05-14;0;22998;0;22998;0;17929;5053,08;5069;-15,9;-43,3;0
2026-05-15;0;17929;0;17929;0;14030;3885,292;3899;-13,7;-57;0
2026-05-16;0;14030;10000;24030;0;19953;4013,687;4077;-63,3;-120,3;0
2026-05-17;0;19953;0;19953;0;16834;3133,668;3119;14,7;-105,6;-0,2
2026-05-18;0;16834;0;16834;0;13567;3220,541;3267;-46,5;-152,1;0
2026-05-19;0;13567;10000;23567;0;20416;3164,544;3151;13,5;-138,6;0
2026-05-20;0;20416;0;20416;0;14495;5834,633;5921;-86,4;-225;-0,3
2026-05-21;0;14495;9400;23895;0;17616;6250,817;6279;-28,2;-253,2;0
2026-05-22;0;17616;9000;26616;0;22399;4294,867;4217;77,9;-175,3;-0,2
2026-05-23;0;22399;0;22399;0;19487;2968,7;2912;56,7;-118,6;-0,1
2026-05-24;0;19487;0;19487;0;18241;1301,629;1246;55,6;-63;0
2026-05-25;0;18241;0;18241;0;13567;4706,649;4674;32,6;-30,4;0
2026-05-26;0;13567;8000;21567;0;17929;3619,31;3638;-18,7;-49,1;-0,1
2026-05-27;0;17929;0;17929;0;15428;2512,214;2501;11,2;-37,9;0
2026-05-28;0;15428;0;15428;0;13721;1662,886;1707;-44,1;-82;-0,1
2026-05-29;0;13721;5000;18721;0;15896;2822,316;2825;-2,7;-84,7;0
2026-05-30;0;15896;10000;25896;0;25327;689,948;569;120,9;36,2;0
2026-05-31;0;25327;0;25327;0;24468;761,799;859;-97,2;-61;-0,1
Total acumulado combustível;101322,274;101383;-61;-1932,5;3,1;;;;;;
Combustível: 2 - GASOLINA COMUM;Tanques vinculados: 391;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;5308;5000;10308;0;8480;1841,729;1828;13,7;13,7;0,7
2026-05-02;0;8480;5000;13480;0;12217;1258,181;1263;-4,8;8,9;0,3
2026-05-03;0;12217;0;12217;0;8480;3678,126;3737;-58,9;-50;-0,7
2026-05-04;0;8480;5000;13480;0;11509;1960,009;1971;-11;-61;-0,7
2026-05-05;0;11509;0;11509;0;10175;1343,689;1334;9,7;-51,3;-0,5
2026-05-06;0;10175;0;10175;0;8714;1466,306;1461;5,3;-46;-0,4
2026-05-07;0;8714;0;8714;0;7466;1326,336;1248;78,3;32,3;0,3
2026-05-08;0;7466;5000;12466;0;10175;2229,565;2291;-61,4;-29,1;-0,2
2026-05-09;0;10175;0;10175;0;8558;1596,98;1617;-20;-49,1;-0,3
2026-05-10;0;8558;5000;13558;0;11937;1576,726;1621;-44,3;-93,4;-0,5
2026-05-11;0;11937;0;11937;0;9947;2028,639;1990;38,6;-54,8;-0,3
2026-05-12;0;9947;0;9947;0;8090;1858,273;1857;1,3;-53,5;-0,2
2026-05-13;0;8090;0;8090;0;6765;1354,003;1325;29;-24,5;-0,1
2026-05-14;0;6765;5000;11765;0;10251;1515,791;1514;1,8;-22,7;-0,1
2026-05-15;0;10251;0;10251;0;8480;1780,688;1771;9,7;-13;0
2026-05-16;0;8480;5000;13480;0;11437;2008,021;2043;-35;-48;-0,2
2026-05-17;0;11437;0;11437;0;9024;2351,954;2413;-61;-109;-0,3
2026-05-18;0;9024;0;9024;0;7466;1492,259;1558;-65,7;-174,7;-0,5
2026-05-19;0;7466;5000;12466;0;10776;1620,904;1690;-69,1;-243,8;-0,7
2026-05-20;0;10776;0;10776;0;9102;1663,632;1674;-10,4;-254,2;-0,7
2026-05-21;0;9102;0;9102;0;7700;1399,145;1402;-2,9;-257,1;-0,7
2026-05-22;0;7700;5000;12700;0;10701;2038,08;1999;39,1;-218;-0,6
2026-05-23;0;10701;0;10701;0;8947;1695,819;1754;-58,2;-276,2;-0,7
2026-05-24;0;8947;0;8947;0;7232;1730,01;1715;15;-261,2;-0,6
2026-05-25;0;7232;5000;12232;0;10924;1341,258;1308;33,3;-227,9;-0,5
2026-05-26;0;10924;0;10924;0;9564;1351,823;1360;-8,2;-236,1;-0,5
2026-05-27;0;9564;0;9564;0;7934;1599,446;1630;-30,6;-266,7;-0,6
2026-05-28;0;7934;5000;12934;0;11581;1378,493;1353;25,5;-241,2;-0,5
2026-05-29;0;11581;0;11581;0;9871;1745,797;1710;35,8;-205,4;-0,4
2026-05-30;0;9871;5000;14871;0;13407;1494,159;1464;30,2;-175,2;-0,3
2026-05-31;0;13407;0;13407;0;11364;1986,598;2043;-56,4;-231,6;-0,4
Total acumulado combustível;53712,439;53944;-231,6;-3919,8;-10,9;;;;;;
Combustível: 2309 - DIESEL S 10;Tanques vinculados: 398 - 394;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;34482;20405;54887;0;37874;16946,441;17013;-66,6;-66,6;-0,2
2026-05-02;0;37874;13000;50874;0;40169;10953,358;10705;248,4;181,8;0,6
